Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\metl,D:\Projetos\_Web\webprotege,"0,03"
D:\Projetos\_Web\metl,D:\Projetos\_Web\kafdrop,"0,22"
D:\Projetos\_Web\metl,D:\Projetos\_Web\webofneeds,"0,27"
D:\Projetos\_Web\metl,D:\Projetos\_Web\aet,"0,15"
D:\Projetos\_Web\metl,D:\Projetos\_Web\webanno,"0,40"
D:\Projetos\_Web\metl,D:\Projetos\_Web\kafka-webview,"0,04"
D:\Projetos\_Web\metl,D:\Projetos\_Web\ice,"0,22"
D:\Projetos\_Web\metl,D:\Projetos\_Web\bonita-web,"0,07"
D:\Projetos\_Web\metl,D:\Projetos\_Web\optaweb-vehicle-routing,"0,28"
D:\Projetos\_Web\metl,D:\Projetos\_Web\openmrs-core,"0,19"
D:\Projetos\_Web\metl,D:\Projetos\_Web\heritrix3,"0,10"
D:\Projetos\_Web\metl,D:\Projetos\_Web\metl,"0,99"
D:\Projetos\_Web\metl,D:\Projetos\_Web\mes,"0,26"
D:\Projetos\_Web\metl,D:\Projetos\_Web\bamboobsc,"0,15"
D:\Projetos\_Web\metl,D:\Projetos\_Web\web-budget,"0,08"
D:\Projetos\_Web\metl,D:\Projetos\_Web\phenotips,"0,31"
D:\Projetos\_Web\metl,D:\Projetos\_Web\zanata-platform,"0,49"
D:\Projetos\_Web\metl,D:\Projetos\_Web\geowe-core,"0,14"
D:\Projetos\_Web\metl,D:\Projetos\_Web\bigbluebutton,"0,52"
D:\Projetos\_Web\metl,D:\Projetos\_Web\libreplan,"0,14"
D:\Projetos\_Web\metl,D:\Projetos\_Web\openmpf,"0,22"
D:\Projetos\_Web\metl,D:\Projetos\_Web\jbpm-wb,"0,62"
D:\Projetos\_Web\mes,D:\Projetos\_Web\webprotege,"0,02"
D:\Projetos\_Web\mes,D:\Projetos\_Web\kafdrop,"0,92"
D:\Projetos\_Web\mes,D:\Projetos\_Web\webofneeds,"0,62"
D:\Projetos\_Web\mes,D:\Projetos\_Web\aet,"0,01"
D:\Projetos\_Web\mes,D:\Projetos\_Web\webanno,"0,35"
D:\Projetos\_Web\mes,D:\Projetos\_Web\kafka-webview,"0,02"
D:\Projetos\_Web\mes,D:\Projetos\_Web\ice,"0,44"
D:\Projetos\_Web\mes,D:\Projetos\_Web\bonita-web,"0,26"
D:\Projetos\_Web\mes,D:\Projetos\_Web\optaweb-vehicle-routing,"0,50"
D:\Projetos\_Web\mes,D:\Projetos\_Web\openmrs-core,"0,63"
D:\Projetos\_Web\mes,D:\Projetos\_Web\heritrix3,"0,01"
D:\Projetos\_Web\mes,D:\Projetos\_Web\metl,"0,26"
D:\Projetos\_Web\mes,D:\Projetos\_Web\mes,"1,00"
D:\Projetos\_Web\mes,D:\Projetos\_Web\bamboobsc,"0,42"
D:\Projetos\_Web\mes,D:\Projetos\_Web\web-budget,"0,00"
