Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.limitingresources.QueueComponent,createTooltiptext,Alto Acoplamento Efferent,[D],,,,
org.libreplan.business.planner.daos.DayAssignmentDAO,getGeneric,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.web.limitingresources.LimitingResourceQueueModel,assignLimitingResourceQueueElementToQueueAt,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.business.test.orders.entities.SchedulingStateTest,aSomewhatScheduledElemenetCannotBeScheduled,Muitos Desvios,[D],,,,
org.libreplan.web.limitingresources.ManualAllocationController,feedValidGapsSince,Alto Acoplamento Efferent,[D],,,,
org.libreplan.business.orders.daos.OrderDAO,getCostExpenseSheet,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.web.orders.JiraSynchronizationController,startSyncWithJira,Metodo Longo,[D],cc246eedfa9f047d513f03efb213a369e2cd05c7,MOVE_OPERATION,public startSyncWithJira(label String) : void,public startSyncWithJira(label String) : void
org.libreplan.web.orders.JiraSynchronizationController,startSyncWithJira,Metodo Longo,[D],2fc452d1b72dffbd5183c29adceb91ec3a9e1c1b,MOVE_OPERATION,public startSyncWithJira(label String) : void,public startSyncWithJira(label String) : void
org.libreplan.web.orders.OrderElementTreeModelTest,checkMoveOrderGroupLineWithCriterionToOrderLineInGroupWithSameCriterion,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.web.planner.chart.ChartFiller,appendPlotinfo,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.web.orders.ManageOrderElementAdvancesController,appendDecimalBoxValue,Metodo Longo,[D],,,,
org.libreplan.web.users.dashboard.MyTasksAreaController,getPersonalTimesheetDateForTask,Muitos Desvios,[D],,,,
org.libreplan.web.orders.OrderCRUDController,getOrdersFiltered,Alto Acoplamento Efferent,"[A, D, V]",5044e541c2266d2cfcfbcf7d0c580a682d3f3307,EXTRACT_OPERATION,public getOrders() : List<Order>,private getOrdersFiltered() : List<Order>
org.libreplan.business.calendars.entities.ThereAreHoursOnWorkHoursCalculator,thereIsCapacityOn,Muitos Parametros,"[A, V, X]",,,,
org.zkoss.ganttz.LeftTasksTree,expandStateChanged,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.planner.calendar.CalendarAllocationController,showWindow,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.scenarios.TransferOrdersModelTest,testBasicTransferOrder,Metodo Longo,"[R, D, V]",,,,
org.libreplan.web.workreports.WorkReportCRUDController,showConfirmDelete,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.resources.worker.WorkerCRUDController,createPredicate,Muitos Desvios,"[D, V]",,,,
org.libreplan.web.tree.TreeController,createButton,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.web.limitingresources.ManualAllocationController,getSelectedAllocationTime,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.planner.taskedition.EditTaskController,accept,Muitos Desvios,[D],,,,
org.zkoss.ganttz.LeftTasksTree,fillModel,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.business.resources.daos.ResourceDAO,getWorkingHoursPerWorker,Muitos Parametros,"[A, R, D, V, X]",,,,
org.zkoss.ganttz.FilterAndParentExpandedPredicates,getParentExpandedPredicate,Metodo Longo,[D],,,,
org.libreplan.web.planner.reassign.ReassignCommand,call,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.templates.TemplatesTreeComponent,getColumns,Metodo Longo,[D],,,,
org.libreplan.web.planner.company.CompanyPlanningModel,getEarnedValueChartConfigurableLegend,Metodo Longo,[V],909eab9f52c1216713038e1013d6fe161fbe74a4,EXTRACT_OPERATION,"private getEarnedValueChartConfigurableLegend(earnedValueChartFiller CompanyEarnedValueChartFiller, date LocalDate) : Component","private getLabelTextEarnedValueType(earnedValueChartFiller CompanyEarnedValueChartFiller, type EarnedValueType, date LocalDate) : String"
org.libreplan.web.planner.company.CompanyPlanningModel,getEarnedValueChartConfigurableLegend,Metodo Longo,[V],4cc12a3dbfa00d8adda0d05282d9fb32658cf3c2,EXTRACT_OPERATION,"private getEarnedValueChartConfigurableLegend(earnedValueChartFiller CompanyEarnedValueChartFiller, date LocalDate) : Component","private getLabelTextEarnedValueType(earnedValueChartFiller CompanyEarnedValueChartFiller, type EarnedValueType, date LocalDate) : String"
org.zkoss.ganttz.DependencyComponent,afterCompose,Metodo Longo,[D],,,,
org.libreplan.business.planner.entities.SigmoidFunction,apply,Alto Acoplamento Efferent,[D],,,,
org.libreplan.business.planner.entities.Task,mergeAllocation,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.common.JobSchedulerController,showSynchronizationInfo,Alto Acoplamento Efferent,[D],3e29b3023ef0f786b0fd3eb06f6b73c229ccb7f7,RENAME_METHOD,private shwoSynchronizationInfo() : void,private showSynchronizationInfo() : void
org.libreplan.web.orders.OrderElementTreeController,importOrderFiltersFromSession,Alto Acoplamento Efferent,[D],,,,
org.zkoss.ganttz.data.criticalpath.CriticalPathCalculatorTest,givenOneTaskWithTwoDependantTasksLastOneWithBiggerOrEqualThanConstraint,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.web.subcontract.ReportAdvancesController,render,Metodo Longo,[D],,,,
org.libreplan.web.orders.ManageOrderElementAdvancesController,appendAddMeasurement,Metodo Longo,[D],,,,
