Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.optaweb.vehiclerouting.domain.RouteWithTrackTest,when_route_is_empty_track_must_be_empty,null,6,1,6,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.RouteWithTrackTest,when_route_is_nonempty_track_must_be_nonempty,null,5,1,5,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.location.LocationServiceTest,should_reload_on_startup,null,7,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.routing.RouterImplTest,setUp,null,5,1,5,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.dataset.DataSetMarshallerTest,marshal_data_set,null,12,1,5,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.DemoService,demos,null,3,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.DemoService,exportDataSet,null,5,2,7,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerConfig,solver,null,7,1,6,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.DistanceMap,containsValue,null,3,1,3,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.LocationRepositoryImpl,removeAll,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.RoutingPlan,empty,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.RoutePublisherImplTest,publish,null,4,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableCoordinates,getLatitude,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.Route,visits,null,3,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.route.RouteChangedEvent,depotId(),null,3,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableCoordinates,hashCode,null,3,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerConfig,executor,null,5,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableLocationTest,marshal_to_json,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.DataSetDownloadControllerTest,export,null,16,1,5,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.RoutingProblemInfo,getName,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.DemoServiceTest,retry_when_adding_location_fails,null,5,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableLocation,getLatitude,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.RoutePublisherImpl,portableVisits,null,3,1,3,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.Coordinates,valueOf,null,3,1,3,2,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.RoutingProblemListTest,all_by_name_should_return_expected_problems,null,10,1,8,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.Coordinates,longitude,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.dataset.DataSetMarshaller,unmarshal,null,3,1,2,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.Coordinates,hashCode,null,3,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.route.RouteListener,findLocationById,null,3,1,4,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.RoutingProblemList,byName,null,7,2,4,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerImplTest,planning_location_should_have_same_latitude_and_longitude,null,6,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.LocationEntityTest,constructor_params_must_not_be_null,null,5,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.change.RemoveCustomerTest,visit(id long),null,7,1,4,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableLocation,fromLocation,null,3,1,2,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.LocationRepositoryIntegrationTest,db_schema,null,13,1,4,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.DistanceRepositoryIntegrationTest,crudRepository,null,10,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.location.LocationServiceTest,should_not_optimize_and_roll_back_if_distance_calculation_fails,null,7,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
