Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
flowctrl.integration.slack.webapi.method.AbstractHistoryMethod,validate,null,8,5,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.method.files.FileDeleteMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,getGroupHistory,Muitos Parametros,10,1,6,6,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.method.chats.ChatPostMessageMethod,createParameters,Metodo Longo,25,5,6,1,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,call,Muitos Desvios,45,10,17,2,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,getMultipartyDirectMessageChannelHistory,Muitos Parametros,10,1,6,6,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.method.AbstractMethod,addError,Muitos Parametros,3,1,4,4,"[A, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,call,Alto Acoplamento Efferent,45,10,17,2,"[A, R, D, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,getFileList,Muitos Parametros,11,1,6,6,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.method.files.FileUploadMethod,createParameters,Muitos Desvios,17,6,1,1,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.SlackWebApiClientTest,basicTest,Alto Acoplamento Efferent,84,4,19,0,"[A, R, D, V, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.method.AbstractItemMethod,validate,Muitos Desvios,5,7,1,1,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,uploadFile,Muitos Parametros,9,2,4,4,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,postMessage,Muitos Parametros,6,1,3,4,"[A, R, D, V, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,getChannelHistory,Muitos Parametros,10,1,6,6,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.method.ValidateTest,printError,Muitos Desvios,15,5,4,1,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,updateMessage,Muitos Parametros,8,1,6,5,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.SlackWebApiClientTest,basicTest,Metodo Longo,84,4,19,0,"[A, R, D, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,call,Metodo Longo,45,10,17,2,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.SlackWebApiClientImpl,getDirectMessageChannelHistory,Muitos Parametros,10,1,6,6,"[A, R, X]",26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
flowctrl.integration.slack.webapi.method.AbstractHistoryMethod,createParameters,Muitos Desvios,16,6,2,1,[D],26f7c03a6e2c7554587c65f7827c6f3f540d35b7,,,,
