Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, V, X ",ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,renderChains,28,8,9,4,Muitos Parametros
" A, V ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.ExportModalWindowPage,load,25,6,12,0,Alto Acoplamento Efferent
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.CrowdJob,setLink,3,1,2,1,Muitos Parametros
" A, R, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.AnnotationGuideLinePanel,onSubmit,23,5,15,0,Alto Acoplamento Efferent
" A, R, D, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectExportPanel,exportProjectSettings,63,8,30,3,Alto Acoplamento Efferent
" A, R, D, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectTagSetsPanel,load,80,15,0,0,Metodo Longo
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxCasController,getCollectionInformation,37,7,18,2,Muitos Desvios
" A, V, X ",UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createTagset,31,4,11,4,Muitos Parametros
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectDocumentsPanel,load,10,3,9,0,Alto Acoplamento Efferent
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.TagSet,setId,3,1,1,1,Muitos Parametros
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.YesNoModalPanel,onSubmit,24,4,14,2,Metodo Longo
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,delete,33,6,10,2,Muitos Desvios
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,render,31,5,6,3,Muitos Desvios
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectExportPanel,load,33,5,9,0,Muitos Desvios
" A, R, D, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.ArcAnnotationModalWindowPanel,onSubmit,48,8,21,2,Alto Acoplamento Efferent
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createSourceDocumentContent,11,3,8,3,Muitos Parametros
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationBuilder,createMergeCas,31,9,17,6,Muitos Desvios
 V ,JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfReader,convertCoreference,27,6,9,3,Metodo Longo
" A, R, V, X ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,setAnnotations,54,11,15,11,Alto Acoplamento Efferent
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,uploadSourceDocument,18,1,9,3,Muitos Parametros
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxCasUtil,isSameSentence,8,5,4,3,Muitos Desvios
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratAnnotatorUtility,clearJcasAnnotations,12,6,7,4,Muitos Desvios
" A, R, D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,setCrowdJobAnnotationsInDocs,55,10,21,2,Alto Acoplamento Efferent
