Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, D, V ",ENTITY,org.archive.modules.net.Robotstxt,initializeFromReader,91,21,12,1,Alto Acoplamento Efferent
" A, D, V, X ",TEST,org.archive.crawler.selftest.Precedence3SelfTest,assertBefore,15,1,4,5,Muitos Parametros
 V ,READER,org.archive.util.ms.PieceReader,read,17,5,4,3,Muitos Desvios
" A, V, X ",PROCESSOR,org.archive.modules.fetcher.FetchWhois,fetch,49,10,13,3,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.recrawl.PersistProcessor,populatePersistEnvFromLog,37,8,14,2,Muitos Desvios
" A, V, X ",PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,saveHeader,6,2,3,4,Muitos Parametros
" D, V ",TEST,org.archive.settings.file.PrefixFinderTest,doTest,36,8,11,0,Alto Acoplamento Efferent
 V ,PERSISTENCE,org.archive.io.RecordingInputStream,setLimits,3,1,2,3,Muitos Parametros
" A, V, X ",RESOURCE,org.archive.crawler.restlet.JobRelatedResource,writeNestedNames,39,13,9,4,Muitos Parametros
" A, D, V, X ",PROCESSOR,org.archive.modules.fetcher.FetchFTP,fetch,88,12,12,3,Metodo Longo
 V ,TEST,org.archive.io.arc.ARCWriterPoolTest,testInvalidate,35,6,8,0,Metodo Longo
 V ,PERSISTENCE,org.archive.io.arc.ARCRecord,getTokenizedHeaderLine,43,14,10,2,Metodo Longo
 V ,TEST,org.archive.io.RecordingOutputStreamTest,writeByteRecordedFile,14,2,6,3,Muitos Parametros
" A, R, D, V, X ",PROCESSOR,org.archive.modules.extractor.ExtractorHTML,processGeneralTag,154,47,18,3,Metodo Longo
 V ,PERSISTENCE,org.archive.io.arc.ARCRecord,computeMetaData,43,14,12,5,Metodo Longo
 V ,UNDEFINED,org.archive.modules.fetcher.FetchHTTPRequest,maybeAddConditionalGetHeader,17,5,7,3,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.writer.MirrorWriterProcessor,addToPath,32,9,6,1,Metodo Longo
 V ,PERSISTENCE,org.archive.io.RecordingOutputStream,setLimits,5,4,1,3,Muitos Parametros
" A, V, X ",UNDEFINED,org.archive.crawler.util.RecoveryLogMapper,load,68,18,12,1,Metodo Longo
" A, V, X ",PROCESSOR,org.archive.crawler.postprocessor.DispositionProcessor,politenessDelayFor,47,12,12,1,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorJS,considerString,26,5,11,4,Metodo Longo
" A, V, X ",FORMATTER,org.archive.crawler.io.UriProcessingFormatter,format,57,12,14,1,Muitos Desvios
 V ,RESOURCE,org.archive.crawler.restlet.JobRelatedResource,addPresentableNestedNames,40,13,12,3,Metodo Longo
 V ,TEST,org.archive.modules.fetcher.FetchHTTPTests,testAcceptCompression,23,1,6,0,Metodo Longo
" A, D, V, X ",ABSTRACTFRONTIER,org.archive.crawler.frontier.WorkQueueFrontier,findEligibleURI,108,19,10,0,Metodo Longo
 V ,PROCESSOR,org.archive.modules.writer.Kw3WriterProcessor,writeHeaderPart,8,1,4,3,Muitos Parametros
 V ,TEST,org.archive.crawler.util.BdbUriUniqFilterTest,runTestWriting,29,8,8,1,Muitos Desvios
 V ,[ARCHIVEFILECONSTANTS| ITERABLE],org.archive.io.ArchiveReader,exceptionNext,22,5,4,0,Muitos Desvios
 V ,UNDEFINED,org.archive.modules.fetcher.FetchHTTPRequest,populateTargetCredential,37,8,9,0,Alto Acoplamento Efferent
