Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
edu.stanford.bmir.protege.web.client.ui.portlet.propertyForm.TextFieldMultiWidget,add,null,3,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.ontology.classes.ClassTreePortlet,insertNodeInTree,null,5,2,2,2,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.server.change.OntologyChangeList,builder,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.obo.OBOTermSynonymEditorImpl,isDirty,null,3,1,2,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.server.owlapi.change.OWLOntologyChangesRecord,getTimestamp,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.rpc.data.ChangeData,setDescription,null,3,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.shared.entity.EntityLookupRequest,hashCode,null,3,1,4,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.library.common.LinkClickedEvent,getAssociatedType,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.portlet.bioportal.BioPortalNotePanel,onChange,null,6,1,1,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.portlet.propertyForm.InstanceCheckBoxWidget,uncheckAll,null,5,2,2,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.actionbar.application.SignOutRequestHandlerImpl,handleSignOutRequest,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.util.GlobalSelectionManager,getTab,null,3,1,3,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.editor.ObjectPropertyFrameEditorManager,createGetObjectAction,null,3,1,3,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.frame.PropertyValueDescriptorEditorPresenter,visit,null,3,1,6,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.rpc.data.BioPortalReferenceData,setConceptId,null,3,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.shared.event.EventBusManager,postEvents,null,6,2,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.obo.OBOTermMetadataView,isDirty,null,3,1,6,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.shared.entity.EntityNameChar_TestCase,shouldReturnBoundaryForHat,null,4,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.frame.ManchesterSyntaxFrameEditorErrorMessageViewImpl,handleCreateAsClass,null,3,1,3,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.notes.NoteViewImpl,makeLinksOpenInNewWindow,null,4,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.editor.AbstractObjectEditorManager,isEnabled,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.primitive.PrimitiveDataEditorImpl,setFreshEntitiesSuggestStrategy,null,3,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.shared.notes.NoteContent,builder,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.DefaultPrimitiveDataParser_LiteralParsing_TestCase,shouldParseDecimalAsXSDDecimal,null,4,1,2,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
