Commmit-name,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class After,Class Before,Short Message,Full Message
d682b669253e5d0283cfc2d93b528001c95d4536,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.activity.MainActivity],[com.zegoggles.smssync.activity.MainActivity]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.calendar.CalendarAccessorPost40],[com.zegoggles.smssync.calendar.CalendarAccessorPost40]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.calendar.CalendarAccessorPost40],[com.zegoggles.smssync.calendar.CalendarAccessorPost40]
3b0fbb47593619175fa6e6586d462caca005ba46,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.calendar.CalendarAccessorPost40],[com.zegoggles.smssync.calendar.CalendarAccessorPost40]
3b0fbb47593619175fa6e6586d462caca005ba46,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.calendar.CalendarAccessorPost40],[com.zegoggles.smssync.calendar.CalendarAccessorPost40]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.calendar.CalendarAccessorPre40],[com.zegoggles.smssync.calendar.CalendarAccessorPre40]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.calendar.CalendarAccessorPre40],[com.zegoggles.smssync.calendar.CalendarAccessorPre40]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,[com.zegoggles.smssync.service.CalendarSyncer],[com.zegoggles.smssync.service.CalendarSyncer]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.service.CalendarSyncer],[com.zegoggles.smssync.service.CalendarSyncer]
3b0fbb47593619175fa6e6586d462caca005ba46,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.service.CalendarSyncer],[com.zegoggles.smssync.service.CalendarSyncer]
3b0fbb47593619175fa6e6586d462caca005ba46,Rename Attribute,RENAME_ATTRIBUTE,[com.zegoggles.smssync.service.CalendarSyncer],[com.zegoggles.smssync.service.CalendarSyncer]
3b0fbb47593619175fa6e6586d462caca005ba46,Extract And Move Method,EXTRACT_AND_MOVE_OPERATION,[com.zegoggles.smssync.service.CalendarSyncer],[com.zegoggles.smssync.service.CalendarSyncer]
3b0fbb47593619175fa6e6586d462caca005ba46,Extract And Move Method,EXTRACT_AND_MOVE_OPERATION,[com.zegoggles.smssync.mail.MessageConverter],[com.zegoggles.smssync.mail.MessageConverter]
3b0fbb47593619175fa6e6586d462caca005ba46,Extract And Move Method,EXTRACT_AND_MOVE_OPERATION,[com.zegoggles.smssync.service.BackupTask],[com.zegoggles.smssync.service.BackupTask]
3b0fbb47593619175fa6e6586d462caca005ba46,Extract And Move Method,EXTRACT_AND_MOVE_OPERATION,[com.zegoggles.smssync.service.CalendarSyncer],[com.zegoggles.smssync.service.CalendarSyncer]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Return Type,CHANGE_RETURN_TYPE,[com.zegoggles.smssync.calendar.CalendarAccessor],[com.zegoggles.smssync.calendar.CalendarAccessor]
3b0fbb47593619175fa6e6586d462caca005ba46,Change Parameter Type,CHANGE_PARAMETER_TYPE,[com.zegoggles.smssync.calendar.CalendarAccessor],[com.zegoggles.smssync.calendar.CalendarAccessor]
817cc43ae66fbfb367359359601cd66193c0723e,Rename Class,RENAME_CLASS,[com.zegoggles.smssync.utils.ListPreferenceHelper],[com.zegoggles.smssync.utils.Utils]
817cc43ae66fbfb367359359601cd66193c0723e,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.utils.ListPreferenceHelper],[com.zegoggles.smssync.utils.ListPreferenceHelper]
